symbol,zone_source,zone_class,direction,pattern,zone_low,zone_high,zone_strength,confluent,confluent_hourly_pattern,has_divergence,has_htf_momentum,passes_body_filter,passes_gap_filter,touch_number,entry_ts,entry_price,reaction_pattern,reaction_rsi,reaction_vol_ratio,exit_ts,exit_price,exit_reason,gross_pnl_pct,pnl_pct,hold_bars
AMBUJACEM,1h,continuation,short,DBD,403.54998779296875,404.95001220703125,5.03,False,,False,False,True,False,1,2026-09-03 03:50:00+00:00,403.9,pin_bar,68.8,1.34,2026-09-03 05:10:00+00:00,402.85,trailing_stop,0.26,-0.04,16
APOLLOHOSP,5m,continuation,long,RBR,7294.5,7298.5,12.41,True,RBR,True,False,True,True,1,2026-01-09 06:15:00+00:00,7297.0,pin_bar,30.3,2.74,2026-01-09 06:40:00+00:00,7279.91,stop_loss,-0.234,-0.534,5
APOLLOHOSP,5m,continuation,short,DBD,7604.5,7610.0,8.77,False,,False,False,True,True,1,2026-03-18 04:00:00+00:00,7580.5,pin_bar,67.5,2.08,2026-03-18 08:40:00+00:00,7491.06,take_profit,1.18,0.93,56
APOLLOHOSP,5m,continuation,short,DBD,7604.5,7610.0,8.77,False,,False,False,True,True,2,2026-04-15 04:05:00+00:00,7598.0,pin_bar,79.6,1.98,2026-04-15 04:10:00+00:00,7625.22,stop_loss,-0.358,-0.659,1
APOLLOHOSP,5m,continuation,short,DBD,7770.0,7773.5,14.26,False,,False,False,True,True,1,2026-05-05 08:50:00+00:00,7765.0,pin_bar,66.7,1.33,2026-05-06 03:45:00+00:00,7789.05,stop_loss,-0.31,-0.61,14
APOLLOHOSP,5m,continuation,long,RBR,8859.0,8864.0,3.57,False,,False,False,True,True,1,2026-07-16 05:25:00+00:00,8875.5,pin_bar,32.5,3.07,2026-07-16 05:40:00+00:00,8895.5,trailing_stop,0.225,-0.075,3
APOLLOHOSP,5m,continuation,long,RBR,8859.0,8864.0,3.57,False,,False,False,True,True,2,2026-07-17 03:45:00+00:00,8864.5,pin_bar,29.1,2.4,2026-07-17 03:55:00+00:00,8841.28,stop_loss,-0.262,-0.562,2
APOLLOHOSP,1h,reversal,long,DBR,6684.0,6707.0,11.75,False,,False,True,True,False,1,2026-01-23 03:45:00+00:00,6765.5,engulfing,33.1,1.44,2026-01-29 03:45:00+00:00,6827.75,trailing_stop,0.92,0.619,225
APOLLOHOSP,1h,continuation,long,RBR,7115.0,7135.0,11.24,False,,False,True,True,True,1,2025-12-08 06:35:00+00:00,7127.5,pin_bar,14.8,3.64,2025-12-08 09:15:00+00:00,7100.77,stop_loss,-0.375,-0.675,32
ASHOKLEY,5m,continuation,long,RBR,152.64,152.84,6.55,False,,False,False,True,True,1,2026-07-21 04:55:00+00:00,153.13,pin_bar,25.0,2.9,2026-07-21 05:50:00+00:00,153.56,trailing_stop,0.284,-0.016,11
ASHOKLEY,5m,continuation,long,RBR,152.64,152.84,6.55,False,,False,False,True,True,2,2026-07-22 04:00:00+00:00,152.87,pin_bar,28.1,1.54,2026-07-22 04:15:00+00:00,152.33,stop_loss,-0.35,-0.65,3
ASHOKLEY,5m,continuation,short,DBD,154.8,155.0,40.0,False,,False,False,True,True,1,2026-07-27 09:00:00+00:00,154.96,pin_bar,75.7,3.88,2026-07-28 03:45:00+00:00,155.31,stop_loss,-0.226,-0.526,12
ASHOKLEY,1h,continuation,long,RBR,140.25,140.5,6.64,False,,False,False,True,False,1,2026-06-08 03:55:00+00:00,142.04,engulfing,25.2,1.72,2026-06-10 03:50:00+00:00,143.67,trailing_stop,1.148,0.847,149
ASHOKLEY,1h,continuation,short,DBD,158.8699951171875,159.3000030517578,10.15,False,,False,False,True,False,1,2026-07-30 09:55:00+00:00,158.8,pin_bar,78.2,3.18,2026-07-31 03:45:00+00:00,159.62,stop_loss,-0.515,-0.816,1
ASHOKLEY,1h,continuation,long,RBR,165.89999389648438,166.67999267578125,6.5,False,,True,True,True,False,1,2026-09-02 03:45:00+00:00,167.11,engulfing,26.8,3.07,2026-09-02 06:00:00+00:00,165.57,stop_loss,-0.923,-1.222,27
ASIANPAINT,1h,continuation,short,DBD,2322.199951171875,2328.89990234375,6.27,False,,False,True,True,False,1,2026-04-10 04:05:00+00:00,2321.0,pin_bar,85.5,2.3,2026-04-10 04:10:00+00:00,2333.56,stop_loss,-0.541,-0.842,1
ASIANPAINT,1h,continuation,short,DBD,2617.5,2634.5,14.98,False,,False,False,True,False,1,2026-05-13 06:10:00+00:00,2620.0,pin_bar,65.1,1.86,2026-05-13 07:40:00+00:00,2639.77,stop_loss,-0.755,-1.055,18
ASIANPAINT,1h,continuation,short,DBD,2444.39990234375,2451.60009765625,5.58,False,,False,False,True,False,1,2026-04-30 09:15:00+00:00,2449.1,pin_bar,70.8,4.26,2026-04-30 09:35:00+00:00,2445.25,trailing_stop,0.157,-0.143,4
ASTRAL,5m,reversal,long,DBR,1527.4,1529.0,19.28,True,RBR,False,False,True,True,1,2026-05-05 09:55:00+00:00,1530.0,pin_bar,33.9,1.76,2026-05-06 03:45:00+00:00,1541.31,take_profit,0.739,0.489,1
